Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Deck,FamilySize
0,3,0,22.0,1,0,7.25,S,Mr,U,2
1,1,1,38.0,1,0,71.2833,C,Mrs,C,2
1,3,1,26.0,0,0,7.925,S,Miss,U,1
1,1,1,35.0,1,0,53.1,S,Mrs,C,2
0,3,0,35.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,0,0,8.4583,Q,Mr,U,1
0,1,0,54.0,0,0,51.8625,S,Mr,E,1
0,3,0,2.0,3,1,21.075,S,Master,U,5
1,3,1,27.0,0,2,11.1333,S,Mrs,U,3
1,2,1,14.0,1,0,30.0708,C,Mrs,U,2
1,3,1,4.0,1,1,16.7,S,Miss,G,3
1,1,1,58.0,0,0,26.55,S,Miss,C,1
0,3,0,20.0,0,0,8.05,S,Mr,U,1
0,3,0,39.0,1,5,31.275,S,Mr,U,7
0,3,1,14.0,0,0,7.8542,S,Miss,U,1
1,2,1,55.0,0,0,16.0,S,Mrs,U,1
0,3,0,2.0,4,1,29.125,Q,Master,U,6
1,2,0,30.0,0,0,13.0,S,Mr,U,1
0,3,1,31.0,1,0,18.0,S,Mrs,U,2
1,3,1,21.5,0,0,7.225,C,Mrs,U,1
0,2,0,35.0,0,0,26.0,S,Mr,U,1
1,2,0,34.0,0,0,13.0,S,Mr,D,1
1,3,1,15.0,0,0,8.0292,Q,Miss,U,1
1,1,0,28.0,0,0,35.5,S,Mr,A,1
0,3,1,8.0,3,1,21.075,S,Miss,U,5
1,3,1,38.0,1,5,31.3875,S,Mrs,U,7
0,3,0,25.0,0,0,7.225,C,Mr,U,1
0,1,0,19.0,3,2,263.0,S,Mr,C,6
1,3,1,21.5,0,0,7.8792,Q,Miss,U,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,1,0,40.0,0,0,27.7208,C,Rare,U,1
1,1,1,35.0,1,0,146.5208,C,Mrs,B,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,2,0,66.0,0,0,10.5,S,Mr,U,1
0,1,0,28.0,1,0,82.1708,C,Mr,U,2
0,1,0,42.0,1,0,52.0,S,Mr,U,2
1,3,0,25.0,0,0,7.2292,C,Mr,U,1
0,3,0,21.0,0,0,8.05,S,Mr,U,1
0,3,1,18.0,2,0,18.0,S,Miss,U,3
1,3,1,14.0,1,0,11.2417,C,Miss,U,2
0,3,1,40.0,1,0,9.475,S,Mrs,U,2
0,2,1,27.0,1,0,21.0,S,Mrs,U,2
0,3,0,25.0,0,0,7.8958,C,Mr,U,1
1,2,1,3.0,1,2,41.5792,C,Miss,U,4
1,3,1,19.0,0,0,7.8792,Q,Miss,U,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,1,0,15.5,Q,Mr,U,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,3,0,25.0,2,0,21.6792,C,Mr,U,3
0,3,1,18.0,1,0,17.8,S,Mrs,U,2
0,3,0,7.0,4,1,39.6875,S,Master,U,6
0,3,0,21.0,0,0,7.8,S,Mr,U,1
1,1,1,49.0,1,0,76.7292,C,Mrs,D,2
1,2,1,29.0,1,0,26.0,S,Mrs,U,2
0,1,0,65.0,0,1,61.9792,C,Mr,B,2
1,1,0,40.0,0,0,35.5,S,Mr,C,1
1,2,1,21.0,0,0,10.5,S,Miss,U,1
0,3,0,28.5,0,0,7.2292,C,Mr,U,1
1,2,1,5.0,1,2,27.75,S,Miss,U,4
0,3,0,11.0,5,2,46.9,S,Master,U,8
0,3,0,22.0,0,0,7.2292,C,Mr,U,1
1,1,1,38.0,0,0,80.0,S,Miss,B,1
0,1,0,45.0,1,0,83.475,S,Mr,C,2
0,3,0,4.0,3,2,27.9,S,Master,U,6
0,1,0,40.0,0,0,27.7208,C,Mr,U,1
1,3,0,25.0,1,1,15.2458,C,Master,U,3
1,2,1,29.0,0,0,10.5,S,Mrs,F,1
0,3,0,19.0,0,0,8.1583,S,Mr,U,1
1,3,1,17.0,4,2,7.925,S,Miss,U,7
0,3,0,26.0,2,0,8.6625,S,Mr,U,3
0,2,0,32.0,0,0,10.5,S,Mr,U,1
0,3,1,16.0,5,2,46.9,S,Miss,U,8
0,2,0,21.0,0,0,73.5,S,Mr,U,1
0,3,0,26.0,1,0,14.4542,C,Mr,U,2
1,3,0,32.0,0,0,56.4958,S,Mr,U,1
0,3,0,25.0,0,0,7.65,S,Mr,F,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
1,2,0,0.83,0,2,29.0,S,Master,U,3
1,3,1,30.0,0,0,12.475,S,Miss,U,1
0,3,0,22.0,0,0,9.0,S,Mr,U,1
1,3,0,29.0,0,0,9.5,S,Mr,U,1
1,3,1,21.5,0,0,7.7875,Q,Miss,U,1
0,1,0,28.0,0,0,47.1,S,Mr,U,1
1,2,1,17.0,0,0,10.5,S,Miss,U,1
1,3,1,33.0,3,0,15.85,S,Mrs,U,4
0,3,0,16.0,1,3,34.375,S,Mr,U,5
0,3,0,25.0,0,0,8.05,S,Mr,U,1
1,1,1,23.0,3,2,263.0,S,Miss,C,6
0,3,0,24.0,0,0,8.05,S,Mr,U,1
0,3,0,29.0,0,0,8.05,S,Mr,U,1
0,3,0,20.0,0,0,7.8542,S,Mr,U,1
0,1,0,46.0,1,0,61.175,S,Mr,E,2
0,3,0,26.0,1,2,20.575,S,Mr,U,4
0,3,0,59.0,0,0,7.25,S,Mr,U,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
0,1,0,71.0,0,0,34.6542,C,Mr,A,1
1,1,0,23.0,0,1,63.3583,C,Mr,D,2
1,2,1,34.0,0,1,23.0,S,Mrs,U,2
0,2,0,34.0,1,0,26.0,S,Mr,U,2
0,3,1,28.0,0,0,7.8958,S,Miss,U,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,1,0,21.0,0,1,77.2875,S,Mr,D,2
0,3,0,33.0,0,0,8.6542,S,Mr,U,1
0,3,0,37.0,2,0,7.925,S,Mr,U,3
0,3,0,28.0,0,0,7.8958,S,Mr,U,1
1,3,1,21.0,0,0,7.65,S,Miss,U,1
1,3,0,25.0,0,0,7.775,S,Mr,U,1
0,3,0,38.0,0,0,7.8958,S,Mr,U,1
1,3,1,21.5,1,0,24.15,Q,Miss,U,2
0,1,0,47.0,0,0,52.0,S,Mr,C,1
0,3,1,14.5,1,0,14.4542,C,Miss,U,2
0,3,0,22.0,0,0,8.05,S,Mr,U,1
0,3,1,20.0,1,0,9.825,S,Miss,U,2
0,3,1,17.0,0,0,14.4583,C,Miss,U,1
0,3,0,21.0,0,0,7.925,S,Mr,U,1
0,3,0,70.5,0,0,7.75,Q,Mr,U,1
0,2,0,29.0,1,0,21.0,S,Mr,U,2
0,1,0,24.0,0,1,247.5208,C,Mr,B,2
0,3,1,2.0,4,2,31.275,S,Miss,U,7
0,2,0,21.0,2,0,73.5,S,Mr,U,3
0,3,0,25.0,0,0,8.05,S,Mr,U,1
0,2,0,32.5,1,0,30.0708,C,Mr,U,2
1,2,1,32.5,0,0,13.0,S,Miss,E,1
0,1,0,54.0,0,1,77.2875,S,Mr,D,2
1,3,0,12.0,1,0,11.2417,C,Master,U,2
0,3,0,25.0,0,0,7.75,Q,Mr,U,1
1,3,0,24.0,0,0,7.1417,S,Mr,U,1
1,3,1,21.5,1,1,22.3583,C,Miss,F,3
0,3,0,45.0,0,0,6.975,S,Mr,U,1
0,3,0,33.0,0,0,7.8958,C,Mr,U,1
0,3,0,20.0,0,0,7.05,S,Mr,U,1
0,3,1,47.0,1,0,14.5,S,Mrs,U,2
1,2,1,29.0,1,0,26.0,S,Mrs,U,2
0,2,0,25.0,0,0,13.0,S,Mr,U,1
0,2,0,23.0,0,0,15.0458,C,Mr,U,1
1,1,1,19.0,0,2,26.2833,S,Miss,D,3
0,1,0,37.0,1,0,53.1,S,Mr,C,2
0,3,0,16.0,0,0,9.2167,S,Mr,U,1
0,1,0,24.0,0,0,79.2,C,Mr,B,1
0,3,1,21.5,0,2,15.2458,C,Mrs,U,3
1,3,1,22.0,0,0,7.75,S,Miss,U,1
1,3,1,24.0,1,0,15.85,S,Mrs,U,2
0,3,0,19.0,0,0,6.75,Q,Mr,U,1
0,2,0,18.0,0,0,11.5,S,Mr,U,1
0,2,0,19.0,1,1,36.75,S,Mr,U,3
1,3,0,27.0,0,0,7.7958,S,Mr,U,1
0,3,1,9.0,2,2,34.375,S,Miss,U,5
0,2,0,36.5,0,2,26.0,S,Mr,F,3
0,2,0,42.0,0,0,13.0,S,Rare,U,1
0,2,0,51.0,0,0,12.525,S,Rare,U,1
1,1,1,22.0,1,0,66.6,S,Mrs,C,2
0,3,0,55.5,0,0,8.05,S,Mr,U,1
0,3,0,40.5,0,2,14.5,S,Mr,U,3
0,3,0,25.0,0,0,7.3125,S,Mr,U,1
0,1,0,51.0,0,1,61.3792,C,Mr,U,2
1,3,1,16.0,0,0,7.7333,Q,Miss,U,1
0,3,0,30.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,0,0,8.6625,S,Mr,U,1
0,3,0,25.0,8,2,69.55,S,Master,U,11
0,3,0,44.0,0,1,16.1,S,Mr,U,2
1,2,1,40.0,0,0,15.75,S,Mrs,U,1
0,3,0,26.0,0,0,7.775,S,Mr,U,1
0,3,0,17.0,0,0,8.6625,S,Mr,U,1
0,3,0,1.0,4,1,39.6875,S,Master,U,6
1,3,0,9.0,0,2,20.525,S,Master,U,3
1,1,1,35.0,0,1,55.0,S,Mrs,E,2
0,3,1,45.0,1,4,27.9,S,Mrs,U,6
0,1,0,40.0,0,0,25.925,S,Mr,U,1
0,3,0,28.0,0,0,56.4958,S,Mr,U,1
0,1,0,61.0,0,0,33.5,S,Mr,B,1
0,3,0,4.0,4,1,29.125,Q,Master,U,6
1,3,1,1.0,1,1,11.1333,S,Miss,U,3
0,3,0,21.0,0,0,7.925,S,Mr,U,1
0,1,0,56.0,0,0,30.6958,C,Mr,A,1
0,3,0,18.0,1,1,7.8542,S,Mr,U,3
0,3,0,25.0,3,1,25.4667,S,Master,U,5
0,1,1,50.0,0,0,28.7125,C,Miss,C,1
0,2,0,30.0,0,0,13.0,S,Mr,U,1
0,3,0,36.0,0,0,8.05,S,Mr,U,1
0,3,1,21.5,8,2,69.55,S,Miss,U,11
0,2,0,30.0,0,0,15.05,C,Mr,U,1
0,3,0,9.0,4,2,31.3875,S,Master,U,7
1,2,0,1.0,2,1,39.0,S,Master,F,4
1,3,1,4.0,0,2,22.025,S,Miss,U,3
0,1,0,40.0,0,0,50.0,S,Mr,A,1
1,3,1,21.5,1,0,15.5,Q,Mrs,U,2
1,1,0,45.0,0,0,26.55,S,Mr,U,1
0,3,0,40.0,1,1,15.5,Q,Mr,U,3
0,3,0,36.0,0,0,7.8958,S,Mr,U,1
1,2,1,32.0,0,0,13.0,S,Mrs,U,1
0,2,0,19.0,0,0,13.0,S,Mr,U,1
1,3,1,19.0,1,0,7.8542,S,Miss,U,2
1,2,0,3.0,1,1,26.0,S,Master,F,3
1,1,1,44.0,0,0,27.7208,C,Mrs,B,1
1,1,1,58.0,0,0,146.5208,C,Miss,B,1
0,3,0,25.0,0,0,7.75,Q,Mr,U,1
0,3,0,42.0,0,1,8.4042,S,Mr,U,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,2,1,24.0,0,0,13.0,S,Miss,U,1
0,3,0,28.0,0,0,9.5,S,Mr,U,1
0,3,0,25.0,8,2,69.55,S,Mr,U,11
0,3,0,34.0,0,0,6.4958,S,Mr,U,1
0,3,0,45.5,0,0,7.225,C,Mr,U,1
1,3,0,18.0,0,0,8.05,S,Mr,U,1
0,3,1,2.0,0,1,10.4625,S,Miss,G,2
0,3,0,32.0,1,0,15.85,S,Mr,U,2
1,3,0,26.0,0,0,18.7875,C,Mr,U,1
1,3,1,16.0,0,0,7.75,Q,Miss,U,1
1,1,0,40.0,0,0,31.0,C,Mr,A,1
0,3,0,24.0,0,0,7.05,S,Mr,U,1
1,2,1,35.0,0,0,21.0,S,Miss,U,1
0,3,0,22.0,0,0,7.25,S,Mr,U,1
0,2,0,30.0,0,0,13.0,S,Mr,U,1
0,3,0,25.0,1,0,7.75,Q,Mr,U,2
1,1,1,31.0,1,0,113.275,C,Miss,D,2
1,3,1,27.0,0,0,7.925,S,Miss,U,1
0,2,0,42.0,1,0,27.0,S,Mr,U,2
1,1,1,32.0,0,0,76.2917,C,Miss,D,1
0,2,0,30.0,0,0,10.5,S,Mr,U,1
1,3,0,16.0,0,0,8.05,S,Mr,U,1
0,2,0,27.0,0,0,13.0,S,Mr,U,1
0,3,0,51.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
1,1,0,38.0,1,0,90.0,S,Mr,C,2
0,3,0,22.0,0,0,9.35,S,Mr,U,1
1,2,0,19.0,0,0,10.5,S,Mr,U,1
0,3,0,20.5,0,0,7.25,S,Mr,U,1
0,2,0,18.0,0,0,13.0,S,Mr,U,1
0,3,1,21.5,3,1,25.4667,S,Miss,U,5
1,1,1,35.0,1,0,83.475,S,Mrs,C,2
0,3,0,29.0,0,0,7.775,S,Mr,U,1
0,2,0,59.0,0,0,13.5,S,Mr,U,1
1,3,1,5.0,4,2,31.3875,S,Miss,U,7
0,2,0,24.0,0,0,10.5,S,Mr,U,1
0,3,1,21.5,0,0,7.55,S,Miss,U,1
0,2,0,44.0,1,0,26.0,S,Mr,U,2
1,2,1,8.0,0,2,26.25,S,Miss,U,3
0,2,0,19.0,0,0,10.5,S,Mr,U,1
0,2,0,33.0,0,0,12.275,S,Mr,U,1
0,3,1,21.5,1,0,14.4542,C,Miss,U,2
1,3,1,21.5,1,0,15.5,Q,Miss,U,2
0,2,0,29.0,0,0,10.5,S,Mr,U,1
0,3,0,22.0,0,0,7.125,S,Mr,U,1
0,3,0,30.0,0,0,7.225,C,Mr,U,1
0,1,0,44.0,2,0,90.0,Q,Rare,C,3
0,3,1,25.0,0,0,7.775,S,Miss,U,1
1,2,1,24.0,0,2,14.5,S,Mrs,U,3
1,1,0,37.0,1,1,52.5542,S,Mr,D,3
0,2,0,54.0,1,0,26.0,S,Rare,U,2
0,3,0,25.0,0,0,7.25,S,Mr,U,1
0,3,1,29.0,1,1,10.4625,S,Mrs,G,3
0,1,0,62.0,0,0,26.55,S,Mr,C,1
0,3,0,30.0,1,0,16.1,S,Mr,U,2
0,3,1,41.0,0,2,20.2125,S,Mrs,U,3
1,3,1,29.0,0,2,15.2458,C,Mrs,U,3
1,1,1,35.0,0,0,79.2,C,Mrs,U,1
1,1,1,30.0,0,0,86.5,S,Miss,B,1
1,1,1,35.0,0,0,512.3292,C,Miss,U,1
1,2,1,50.0,0,1,26.0,S,Mrs,U,2
0,3,0,25.0,0,0,7.75,Q,Mr,U,1
1,3,0,3.0,4,2,31.3875,S,Master,U,7
0,1,0,52.0,1,1,79.65,S,Mr,E,3
0,1,0,40.0,0,0,60.287499999999994,S,Mr,B,1
0,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,2,0,36.0,0,0,10.5,S,Mr,U,1
0,3,0,16.0,4,1,39.6875,S,Mr,U,6
1,3,0,25.0,1,0,7.775,S,Mr,U,2
1,1,1,58.0,0,1,153.4625,S,Mrs,C,2
1,1,1,35.0,0,0,135.6333,S,Miss,C,1
0,1,0,40.0,0,0,31.0,S,Mr,U,1
1,3,0,25.0,0,0,8.05,S,Mr,U,1
1,2,1,41.0,0,1,19.5,S,Mrs,U,2
0,1,0,37.0,0,1,29.7,C,Mr,C,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
1,1,1,63.0,1,0,77.9583,S,Miss,D,2
0,3,1,45.0,0,0,7.75,S,Miss,U,1
0,2,0,30.0,0,0,14.25,S,Mr,U,1
0,3,0,7.0,4,1,29.125,Q,Master,U,6
1,3,1,35.0,1,1,20.25,S,Mrs,U,3
0,3,0,65.0,0,0,7.75,Q,Mr,U,1
0,3,0,28.0,0,0,7.8542,S,Mr,U,1
0,3,0,16.0,0,0,9.5,S,Mr,U,1
1,3,0,19.0,0,0,8.05,S,Mr,U,1
0,1,0,40.0,0,0,26.0,S,Mr,A,1
0,3,0,33.0,0,0,8.6625,C,Mr,U,1
1,3,0,30.0,0,0,9.5,S,Mr,U,1
0,3,0,22.0,0,0,7.8958,S,Mr,U,1
1,2,0,42.0,0,0,13.0,S,Mr,U,1
1,3,1,22.0,0,0,7.75,Q,Miss,U,1
1,1,1,26.0,0,0,78.85,S,Miss,U,1
1,1,1,19.0,1,0,91.0792,C,Mrs,B,2
0,2,0,36.0,0,0,12.875,C,Mr,D,1
0,3,1,24.0,0,0,8.85,S,Miss,U,1
0,3,0,24.0,0,0,7.8958,S,Mr,U,1
0,1,0,40.0,0,0,27.7208,C,Mr,U,1
0,3,0,23.5,0,0,7.2292,C,Mr,U,1
0,1,1,2.0,1,2,151.55,S,Miss,C,4
1,1,0,40.0,0,0,30.5,S,Mr,C,1
1,1,1,50.0,0,1,247.5208,C,Mrs,B,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
1,3,0,25.0,2,0,23.25,Q,Mr,U,3
0,3,0,19.0,0,0,8.05,S,Mr,U,1
1,2,1,28.0,0,0,12.35,Q,Miss,E,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
1,1,0,0.92,1,2,151.55,S,Master,C,4
1,1,1,35.0,0,0,110.8833,C,Miss,U,1
1,1,1,17.0,1,0,108.9,C,Mrs,C,2
0,2,0,30.0,1,0,24.0,C,Mr,U,2
1,1,1,30.0,0,0,56.9292,C,Miss,E,1
1,1,1,24.0,0,0,83.1583,C,Miss,C,1
1,1,1,18.0,2,2,262.375,C,Miss,B,5
0,2,1,26.0,1,1,26.0,S,Mrs,U,3
0,3,0,28.0,0,0,7.8958,S,Mr,U,1
0,2,0,43.0,1,1,26.25,S,Mr,U,3
1,3,1,26.0,0,0,7.8542,S,Miss,U,1
1,2,1,24.0,1,0,26.0,S,Mrs,U,2
0,2,0,54.0,0,0,14.0,S,Rare,U,1
1,1,1,31.0,0,2,164.8667,S,Miss,C,3
1,1,1,40.0,1,1,134.5,C,Mrs,E,3
0,3,0,22.0,0,0,7.25,S,Mr,U,1
0,3,0,27.0,0,0,7.8958,S,Mr,U,1
1,2,1,30.0,0,0,12.35,Q,Miss,U,1
1,2,1,22.0,1,1,29.0,S,Mrs,U,3
0,3,0,25.0,8,2,69.55,S,Mr,U,11
1,1,1,36.0,0,0,135.6333,C,Miss,C,1
0,3,0,61.0,0,0,6.2375,S,Mr,U,1
1,2,1,36.0,0,0,13.0,S,Mrs,D,1
1,3,1,31.0,1,1,20.525,S,Mrs,U,3
1,1,1,16.0,0,1,57.9792,C,Miss,B,2
1,3,1,21.5,2,0,23.25,Q,Miss,U,3
0,1,0,45.5,0,0,28.5,S,Mr,C,1
0,1,0,38.0,0,1,153.4625,S,Mr,C,2
0,3,0,16.0,2,0,18.0,S,Mr,U,3
1,1,1,35.0,1,0,133.65,S,Mrs,U,2
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,1,0,29.0,1,0,66.6,S,Mr,C,2
1,1,1,41.0,0,0,134.5,C,Miss,E,1
1,3,0,45.0,0,0,8.05,S,Mr,U,1
0,1,0,45.0,0,0,35.5,S,Mr,T,1
1,2,0,2.0,1,1,26.0,S,Master,F,3
1,1,1,24.0,3,2,263.0,S,Miss,C,6
0,2,0,28.0,0,0,13.0,S,Mr,U,1
0,2,0,25.0,0,0,13.0,S,Mr,U,1
0,2,0,36.0,0,0,13.0,S,Mr,U,1
1,2,1,24.0,0,0,13.0,S,Miss,F,1
1,2,1,40.0,0,0,13.0,S,Miss,U,1
1,3,1,21.5,1,0,16.1,S,Mrs,U,2
1,3,0,3.0,1,1,15.9,S,Master,U,3
0,3,0,42.0,0,0,8.6625,S,Mr,U,1
0,3,0,23.0,0,0,9.225,S,Mr,U,1
0,1,0,40.0,0,0,35.0,S,Mr,C,1
0,3,0,15.0,1,1,7.2292,C,Mr,U,3
0,3,0,25.0,1,0,17.8,S,Mr,U,2
0,3,0,25.0,0,0,7.225,C,Mr,U,1
0,3,0,28.0,0,0,9.5,S,Mr,U,1
1,1,1,22.0,0,1,55.0,S,Miss,E,2
0,2,1,38.0,0,0,13.0,S,Miss,U,1
1,3,1,21.5,0,0,7.8792,Q,Miss,U,1
1,3,1,21.5,0,0,7.8792,Q,Miss,U,1
0,3,0,40.0,1,4,27.9,S,Mr,U,6
0,2,0,29.0,1,0,27.7208,C,Mr,U,2
0,3,1,45.0,0,1,14.4542,C,Mrs,U,2
0,3,0,35.0,0,0,7.05,S,Mr,U,1
0,3,0,25.0,1,0,15.5,Q,Mr,U,2
0,3,0,30.0,0,0,7.25,S,Mr,U,1
1,1,1,60.0,1,0,75.25,C,Mrs,D,2
1,3,1,21.5,0,0,7.2292,C,Mrs,U,1
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
1,1,1,24.0,0,0,69.3,C,Mrs,B,1
1,1,0,25.0,1,0,55.4417,C,Mr,E,2
0,3,0,18.0,1,0,6.4958,S,Mr,U,2
0,3,0,19.0,0,0,8.05,S,Mr,U,1
0,1,0,22.0,0,0,135.6333,C,Mr,U,1
0,3,1,3.0,3,1,21.075,S,Miss,U,5
1,1,1,35.0,1,0,82.1708,C,Mrs,U,2
1,3,1,22.0,0,0,7.25,S,Miss,U,1
0,1,0,27.0,0,2,211.5,C,Mr,C,3
0,3,0,20.0,0,0,4.0125,C,Mr,U,1
0,3,0,19.0,0,0,7.775,S,Mr,U,1
1,1,1,42.0,0,0,227.525,C,Miss,U,1
1,3,1,1.0,0,2,15.7417,C,Miss,U,3
0,3,0,32.0,0,0,7.925,S,Mr,U,1
1,1,1,35.0,1,0,52.0,S,Mrs,U,2
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,2,0,18.0,0,0,73.5,S,Mr,U,1
0,3,0,1.0,5,2,46.9,S,Master,U,8
1,2,1,36.0,0,0,13.0,S,Miss,U,1
0,3,0,25.0,0,0,7.7292,Q,Mr,U,1
1,2,1,17.0,0,0,12.0,C,Miss,U,1
1,1,0,36.0,1,2,120.0,S,Mr,B,4
1,3,0,21.0,0,0,7.7958,S,Mr,U,1
0,3,0,28.0,2,0,7.925,S,Mr,U,3
1,1,1,23.0,1,0,113.275,C,Miss,D,2
1,3,1,24.0,0,2,16.7,S,Mrs,G,3
0,3,0,22.0,0,0,7.7958,S,Mr,U,1
0,3,1,31.0,0,0,7.8542,S,Miss,U,1
0,2,0,46.0,0,0,26.0,S,Mr,U,1
0,2,0,23.0,0,0,10.5,S,Rare,U,1
1,2,1,28.0,0,0,12.65,S,Mrs,U,1
1,3,0,39.0,0,0,7.925,S,Mr,U,1
0,3,0,26.0,0,0,8.05,S,Mr,U,1
0,3,1,21.0,1,0,9.825,S,Miss,U,2
0,3,0,28.0,1,0,15.85,S,Mr,U,2
0,3,1,20.0,0,0,8.6625,S,Miss,U,1
0,2,0,34.0,1,0,21.0,S,Mr,U,2
0,3,0,51.0,0,0,7.75,S,Mr,U,1
1,2,0,3.0,1,1,18.75,S,Master,U,3
0,3,0,21.0,0,0,7.775,S,Mr,U,1
0,3,1,21.5,3,1,25.4667,S,Miss,U,5
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,3,0,25.0,0,0,6.8583,Q,Mr,U,1
1,1,1,33.0,1,0,90.0,Q,Miss,C,2
0,2,0,30.0,0,0,14.25,S,Mr,U,1
1,3,0,44.0,0,0,7.925,S,Mr,U,1
0,3,1,21.5,0,0,8.05,S,Mrs,U,1
1,2,1,34.0,1,1,32.5,S,Mrs,U,3
1,2,1,18.0,0,2,13.0,S,Miss,U,3
0,2,0,30.0,0,0,13.0,S,Mr,U,1
0,3,1,10.0,0,2,24.15,S,Miss,U,3
0,3,0,25.0,0,0,7.8958,C,Mr,U,1
0,3,0,21.0,0,0,7.7333,Q,Mr,U,1
0,3,0,29.0,0,0,7.875,S,Mr,U,1
0,3,1,28.0,1,1,14.4,S,Mrs,U,3
0,3,0,18.0,1,1,20.2125,S,Mr,U,3
0,3,0,25.0,0,0,7.25,S,Mr,U,1
1,2,1,28.0,1,0,26.0,S,Mrs,U,2
1,2,1,19.0,0,0,26.0,S,Miss,U,1
0,3,0,25.0,0,0,7.75,Q,Mr,U,1
1,3,0,32.0,0,0,8.05,S,Mr,E,1
1,1,0,28.0,0,0,26.55,S,Mr,C,1
1,3,1,21.5,1,0,16.1,S,Mrs,U,2
1,2,1,42.0,1,0,26.0,S,Mrs,U,2
0,3,0,17.0,0,0,7.125,S,Mr,U,1
0,1,0,50.0,1,0,55.9,S,Mr,E,2
1,1,1,14.0,1,2,120.0,S,Miss,B,4
0,3,1,21.0,2,2,34.375,S,Miss,U,5
1,2,1,24.0,2,3,18.75,S,Mrs,U,6
0,1,0,64.0,1,4,263.0,S,Mr,C,6
0,2,0,31.0,0,0,10.5,S,Mr,U,1
1,2,1,45.0,1,1,26.25,S,Mrs,U,3
0,3,0,20.0,0,0,9.5,S,Mr,U,1
0,3,0,25.0,1,0,7.775,S,Mr,U,2
1,2,1,28.0,0,0,13.0,S,Miss,U,1
